"x","y"
"3859.40692710877","1.439067E-15"
"3862.29274368286","2.350599E-15"
"3865.17856025696","3.496364E-15"
"3868.06437683106","4.460460E-15"
"3870.95019340515","3.758317E-15"
"3873.83600997925","2.417451E-15"
"3876.72182655335","1.410614E-15"
"3879.60764312744","1.881677E-15"
"3882.49345970154","3.861964E-15"
"3885.37927627564","6.134884E-15"
"3888.26509284973","6.834058E-15"
"3891.15090942383","5.472627E-15"
"3894.03672599793","2.726356E-15"
"3896.92254257202","1.654679E-15"
"3899.80835914612","1.237393E-15"
"3902.69417572022","9.380730E-16"
"3905.57999229431","1.301480E-15"
"3908.46580886841","1.127660E-15"
"3911.35162544251","8.323973E-16"
"3914.2374420166","7.344205E-16"
"3917.1232585907","8.024144E-16"
"3920.0090751648","7.980568E-16"
"3922.89489173889","1.291109E-15"
"3925.78070831299","6.776776E-16"
"3928.66652488709","8.823085E-16"
"3931.55234146118","9.531734E-16"
"3934.43815803528","7.638458E-16"
"3937.32397460938","6.766172E-16"
"3940.20979118347","1.194298E-15"
"3943.09560775757","7.420298E-16"
"3945.98142433167","9.705098E-16"
"3948.86724090576","9.875903E-16"
"3951.75305747986","1.188094E-15"
"3954.63887405396","1.262704E-15"
"3957.52469062805","1.361148E-15"
"3960.41050720215","2.527118E-15"
"3963.29632377625","4.353390E-15"
"3966.18214035034","6.917735E-15"
"3969.06795692444","7.027211E-15"
"3971.95377349854","5.731775E-15"
"3974.83959007264","2.932720E-15"
"3977.72540664673","1.609386E-15"
"3980.61122322083","1.147542E-15"
"3983.49703979492","7.566156E-16"
"3986.38285636902","1.043595E-15"
"3989.26867294312","9.250832E-16"
"3992.15448951721","1.107174E-15"
"3995.04030609131","1.242974E-15"
"3997.92612266541","1.052414E-15"
"4000.8119392395","1.040359E-15"
"4003.6977558136","1.047920E-15"
"4006.5835723877","9.373274E-16"
"4009.4693889618","1.041404E-15"
"4012.35520553589","1.294129E-15"
"4015.24102210999","1.192350E-15"
"4018.12683868408","1.292334E-15"
"4021.01265525818","1.806734E-15"
"4023.89847183228","2.306547E-15"
"4026.78428840638","2.496184E-15"
"4029.67010498047","1.769924E-15"
"4032.55592155457","1.379807E-15"
"4035.44173812867","1.223200E-15"
"4038.32755470276","1.262042E-15"
