"x","y"
"4147.330034","1.36E-15"
"4149.185447","1.23E-15"
"4151.040859","1.64E-15"
"4152.896272","1.30E-15"
"4154.751684","1.15E-15"
"4156.607097","8.66E-16"
"4158.462509","1.26E-15"
"4160.317922","1.75E-15"
"4162.173334","1.26E-15"
"4164.028747","1.62E-15"
"4165.884159","1.26E-15"
"4167.739572","1.23E-15"
"4169.594984","1.38E-15"
"4171.450397","1.07E-15"
"4173.305809","1.10E-15"
"4175.161222","1.39E-15"
"4177.016634","8.74E-16"
"4178.872047","1.53E-15"
"4180.727459","1.33E-15"
"4182.582872","1.12E-15"
"4184.438284","1.30E-15"
"4186.293697","1.37E-15"
"4188.149109","1.09E-15"
"4190.004522","9.14E-16"
"4191.859934","1.07E-15"
"4193.715347","1.09E-15"
"4195.570759","1.28E-15"
"4197.426172","1.28E-15"
"4199.281584","1.55E-15"
"4201.136997","1.79E-15"
"4202.992409","1.75E-15"
"4204.847822","1.20E-15"
"4206.703234","1.14E-15"
"4208.558647","1.24E-15"
"4210.414059","1.01E-15"
"4212.269471","1.18E-15"
"4214.124884","1.02E-15"
"4215.980296","1.14E-15"
"4217.835709","1.32E-15"
"4219.691121","1.03E-15"
"4221.546534","7.22E-16"
"4223.401946","8.78E-16"
"4225.257359","1.19E-15"
"4227.112771","1.27E-15"
"4228.968184","1.30E-15"
"4230.823596","1.22E-15"
"4232.679009","1.11E-15"
"4234.534421","1.24E-15"
"4236.389834","9.13E-16"
"4238.245246","7.14E-16"
"4240.100659","8.94E-16"
"4241.956071","1.09E-15"
"4243.811484","1.08E-15"
"4245.666896","8.66E-16"
"4247.522309","9.69E-16"
"4249.377721","1.42E-15"
"4251.233134","1.32E-15"
"4253.088546","1.04E-15"
"4254.943959","1.05E-15"
"4256.799371","9.46E-16"
"4258.654784","9.44E-16"
"4260.510196","1.06E-15"
"4262.365609","1.38E-15"
"4264.221021","8.92E-16"
"4266.076434","9.96E-16"
"4267.931846","1.23E-15"
"4269.787259","1.08E-15"
"4271.642671","8.54E-16"
"4273.498084","1.14E-15"
"4275.353496","1.45E-15"
"4277.208909","1.38E-15"
"4279.064321","1.05E-15"
"4280.919734","1.19E-15"
"4282.775146","8.45E-16"
"4284.630559","9.43E-16"
"4286.485971","1.41E-15"
"4288.341384","8.87E-16"
"4290.196796","7.67E-16"
"4292.052209","1.39E-15"
"4293.907621","1.23E-15"
"4295.763034","1.31E-15"
"4297.618446","1.06E-15"
"4299.473859","9.65E-16"
"4301.329271","1.05E-15"
"4303.184684","8.25E-16"
"4305.040096","7.16E-16"
"4306.895509","9.73E-16"
"4308.750921","1.07E-15"
"4310.606334","1.34E-15"
"4312.461746","1.26E-15"
"4314.317159","1.13E-15"
"4316.172571","1.08E-15"
"4318.027984","1.05E-15"
"4319.883396","1.12E-15"
"4321.738809","1.35E-15"
"4323.594221","1.26E-15"
"4325.449634","1.09E-15"
"4327.305046","1.15E-15"
"4329.160459","1.20E-15"
"4331.015871","1.20E-15"
"4332.871284","1.15E-15"
"4334.726696","1.20E-15"
"4336.582109","1.61E-15"
"4338.437521","3.98E-15"
"4340.292934","8.55E-15"
"4342.148346","1.10E-14"
"4344.003759","8.80E-15"
"4345.859171","4.38E-15"
